"Category","Area","Count"
"Education","Mirpur-10",54
"Education","Mirpur-11",152
"Education","Mirpur-12",35
"Education","N/A",57
"Financial","Mirpur-10",25
"Financial","Mirpur-11",105
"Financial","Mirpur-12",31
"Financial","N/A",49
"Government","Mirpur-11",10
"Government","Mirpur-12",2
"Government","N/A",3
"Health","Mirpur-10",62
"Health","Mirpur-11",209
"Health","Mirpur-12",46
"Health","N/A",94
"Legal","Mirpur-10",2
"Legal","Mirpur-11",14
"Legal","Mirpur-12",1
"Legal","N/A",4
"Recreation","Mirpur-10",24
"Recreation","Mirpur-11",48
"Recreation","Mirpur-12",12
"Recreation","N/A",27
